PID COMMAND
2442 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
2486 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
1841 /usr/bin/dbus-daemon
1622 /usr/bin/dbus-daemon
2233 /usr/bin/gjs
1912 /usr/bin/gjs
1623 /usr/bin/gnome-keyring-daemon
1828 /usr/bin/gnome-shell
1915 /usr/bin/ibus-daemon
1610 /usr/bin/pipewire
1612 /usr/bin/pipewire
1621 /usr/bin/pipewire-pulse
1042 /usr/bin/python3
2568 /usr/bin/seahorse
3071 /usr/bin/snap
2744 /usr/bin/update-notifier
1620 /usr/bin/wireplumber
2617 /usr/bin/Xwayland
797 /usr/libexec/accounts-daemon
1886 /usr/libexec/at-spi2-registryd
1832 /usr/libexec/at-spi-bus-launcher
1226 /usr/libexec/colord
1903 /usr/libexec/dconf-service
2284 /usr/libexec/evolution-addressbook-factory
2253 /usr/libexec/evolution-calendar-factory
1949 /usr/libexec/evolution-data-server/evolution-alarm-notify
2100 /usr/libexec/evolution-source-registry
2310 /usr/libexec/fwupd/fwupd
1761 /usr/libexec/gcr-ssh-agent
1689 /usr/libexec/gdm-wayland-session
775 /usr/libexec/gnome-remote-desktop-daemon
1696 /usr/libexec/gnome-session-binary
1789 /usr/libexec/gnome-session-binary
1765 /usr/libexec/gnome-session-ctl
1900 /usr/libexec/gnome-shell-calendar-server
2664 /usr/libexec/gnome-terminal-server
2136 /usr/libexec/goa-daemon
2155 /usr/libexec/goa-identity-service
1916 /usr/libexec/gsd-a11y-settings
1925 /usr/libexec/gsd-color
1930 /usr/libexec/gsd-datetime
1963 /usr/libexec/gsd-disk-utility-notify
1933 /usr/libexec/gsd-housekeeping
1934 /usr/libexec/gsd-keyboard
1939 /usr/libexec/gsd-media-keys
1940 /usr/libexec/gsd-power
2139 /usr/libexec/gsd-printer
1941 /usr/libexec/gsd-print-notifications
1943 /usr/libexec/gsd-rfkill
1945 /usr/libexec/gsd-screensaver-proxy
1946 /usr/libexec/gsd-sharing
1947 /usr/libexec/gsd-smartcard
1952 /usr/libexec/gsd-sound
1955 /usr/libexec/gsd-wacom
2621 /usr/libexec/gsd-xsettings
2157 /usr/libexec/gvfs-afc-volume-monitor
1777 /usr/libexec/gvfsd
1787 /usr/libexec/gvfsd-fuse
2388 /usr/libexec/gvfsd-metadata
2835 /usr/libexec/gvfsd-recent
2263 /usr/libexec/gvfsd-trash
2131 /usr/libexec/gvfs-goa-volume-monitor
2174 /usr/libexec/gvfs-gphoto2-volume-monitor
2168 /usr/libexec/gvfs-mtp-volume-monitor
2119 /usr/libexec/gvfs-udisks2-volume-monitor
2189 /usr/libexec/ibus-engine-simple
2103 /usr/libexec/ibus-extension-gtk3
2102 /usr/libexec/ibus-memconf
2114 /usr/libexec/ibus-portal
2686 /usr/libexec/ibus-x11
2693 /usr/libexec/mutter-x11-frames
1269 /usr/libexec/packagekitd
792 /usr/libexec/power-profiles-daemon
1128 /usr/libexec/rtkit-daemon
801 /usr/libexec/switcheroo-control
2228 /usr/libexec/tracker-miner-fs-3
804 /usr/libexec/udisks2/udisksd
1270 /usr/libexec/upowerd
2393 /usr/libexec/xdg-desktop-portal
2408 /usr/libexec/xdg-desktop-portal-gnome
2426 /usr/libexec/xdg-desktop-portal-gtk
1639 /usr/libexec/xdg-document-portal
1656 /usr/libexec/xdg-permission-store
791 /usr/lib/polkit-1/polkitd
795 /usr/lib/snapd/snapd
359 /usr/lib/systemd/systemd-journald
803 /usr/lib/systemd/systemd-logind
688 /usr/lib/systemd/systemd-oomd
694 /usr/lib/systemd/systemd-resolved
695 /usr/lib/systemd/systemd-timesyncd
418 /usr/lib/systemd/systemd-udevd
1595 /usr/lib/systemd/systemd
769 /usr/sbin/anacron
798 /usr/sbin/cron
1076 /usr/sbin/cups-browsed
1039 /usr/sbin/cupsd
1062 /usr/sbin/gdm3
1059 /usr/sbin/kerneloops
1056 /usr/sbin/kerneloops
882 /usr/sbin/ModemManager
853 /usr/sbin/NetworkManager
809 /usr/sbin/rsyslogd
857 /usr/sbin/wpa_supplicant
51 [watchdogd]
